5.1,3.5,1.4,0.2,Iris-setosa,,Longitud_Sepalo,Ancho_Sepalo,Longitud_Petalo,Ancho_Petalo,,,,,,,,,,,,,,
4.5,2.3,1.3,0.3,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.4,3.2,1.3,0.2,Iris-setosa,,Chico,Chico,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.5,1.6,0.6,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.8,1.9,0.4,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.8,3,1.4,0.3,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.8,1.6,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.6,3.2,1.4,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.3,3.7,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.3,1.4,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
7,3.2,4.7,1.4,Iris-versicolor,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
6.4,3.2,4.5,1.5,Iris-versicolor,,Grande,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.9,3.1,4.9,1.5,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.5,2.3,4,1.3,Iris-versicolor,,Grande,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.5,2.8,4.6,1.5,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.7,2.8,4.5,1.3,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.3,3.3,4.7,1.6,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
4.9,2.4,3.3,1,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.6,2.9,4.6,1.3,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.2,2.7,3.9,1.4,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5,2,3.5,1,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.9,3,4.2,1.5,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6,2.2,4,1,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.1,2.9,4.7,1.4,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.6,2.9,3.6,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.7,3.1,4.4,1.4,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.6,3,4.5,1.5,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.8,2.7,4.1,1,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.2,2.2,4.5,1.5,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.6,2.5,3.9,1.1,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.9,3.2,4.8,1.8,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.1,2.8,4,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Grande,Iris-versicolor,,,,,,,,,,,,,
6.3,2.5,4.9,1.5,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.1,2.8,4.7,1.2,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.4,2.9,4.3,1.3,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.6,3,4.4,1.4,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.8,2.8,4.8,1.4,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.7,3,5,1.7,Iris-versicolor,,Grande,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6,2.9,4.5,1.5,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.7,2.6,3.5,1,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.5,2.4,3.8,1.1,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.5,2.4,3.7,1,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.8,2.7,3.9,1.2,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6,2.7,5.1,1.6,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.4,3,4.5,1.5,Iris-versicolor,,Mediano,Chico,Grande,Mediano,Iris-versicolor,,,,,,,,,,,,,
6,3.4,4.5,1.6,Iris-versicolor,,Chico,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.7,3.1,4.7,1.5,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.3,2.3,4.4,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.6,3,4.1,1.3,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.5,2.5,4,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.5,2.6,4.4,1.2,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.1,3,4.6,1.4,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.8,2.6,4,1.2,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5,2.3,3.3,1,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.6,2.7,4.2,1.3,Iris-versicolor,,Chico,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.7,3,4.2,1.2,Iris-versicolor,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.7,2.9,4.2,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.2,2.9,4.3,1.3,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.1,2.5,3,1.1,Iris-versicolor,,Mediano,Mediano,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.7,2.8,4.1,1.3,Iris-versicolor,,Chico,Chico,Chico,Mediano,Iris-versicolor,,,,,,,,,,,,,
6.3,3.3,6,2.5,Iris-virginica,,Mediano,Chico,Mediano,Mediano,Iris-versicolor,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.1,3,5.9,2.1,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.3,2.9,5.6,1.8,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.5,3,5.8,2.2,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.6,3,6.6,2.1,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
4.9,2.5,4.5,1.7,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.3,2.9,6.3,1.8,Iris-virginica,,Chico,Chico,Mediano,Mediano,Iris-virginica,,,,,,,,,,,,,
6.7,2.5,5.8,1.8,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.2,3.6,6.1,2.5,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.5,3.2,5.1,2,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.4,2.7,5.3,1.9,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.8,3,5.5,2.1,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
5.7,2.5,5,2,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
5.8,2.8,5.1,2.4,Iris-virginica,,Mediano,Chico,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
6.4,3.2,5.3,2.3,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.5,3,5.5,1.8,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.7,3.8,6.7,2.2,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.7,2.6,6.9,2.3,Iris-virginica,,Grande,Grande,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6,2.2,5,1.5,Iris-virginica,,Grande,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.9,3.2,5.7,2.3,Iris-virginica,,Mediano,Chico,Mediano,Mediano,Iris-virginica,,,,,,,,,,,,,
5.6,2.8,4.9,2,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.7,2.8,6.7,2,Iris-virginica,,Mediano,Chico,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
6.3,2.7,4.9,1.8,Iris-virginica,,Grande,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.7,3.3,5.7,2.1,Iris-virginica,,Mediano,Chico,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
7.2,3.2,6,1.8,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.2,2.8,4.8,1.8,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.1,3,4.9,1.8,Iris-virginica,,Mediano,Chico,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
6.4,2.8,5.6,2.1,Iris-virginica,,Mediano,Mediano,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
7.2,3,5.8,1.6,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
7.4,2.8,6.1,1.9,Iris-virginica,,Grande,Mediano,Grande,Mediano,Iris-virginica,,,,,,,,,,,,,
7.9,3.8,6.4,2,Iris-virginica,,Grande,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.4,2.8,5.6,2.2,Iris-virginica,,Grande,Grande,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.3,2.8,5.1,1.5,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.1,2.6,5.6,1.4,Iris-virginica,,Mediano,Chico,Grande,Mediano,Iris-virginica,,,,,,,,,,,,,
7.7,3,6.1,2.3,Iris-virginica,,Mediano,Chico,Grande,Mediano,Iris-virginica,,,,,,,,,,,,,
6.3,3.4,5.6,2.4,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.4,3.1,5.5,1.8,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6,3,4.8,1.8,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.9,3.1,5.4,2.1,Iris-virginica,,Mediano,Mediano,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
6.7,3.1,5.6,2.4,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.9,3.1,5.1,2.3,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.8,3.2,5.9,2.3,Iris-virginica,,Mediano,Chico,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.7,3.3,5.7,2.5,Iris-virginica,,Grande,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.7,3,5.2,2.3,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.3,2.5,5,1.9,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
6.5,3,5.2,2,Iris-virginica,,Mediano,Chico,Mediano,Grande,Iris-virginica,,,,,,,,,,,,,
6.2,3.4,5.4,2.3,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
5.9,3,5.1,1.8,Iris-virginica,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
,,,,,,Mediano,Mediano,Grande,Grande,Iris-virginica,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Entropy(S) = – p(1/3) log2p(1/3) – p(1/3) log2p(1/3)– p(1/3) log2p(1/3),,,,,,resultado 1.585,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1.584962501,,,,,,,,,,,,,,,,,,,,,
,tablas cruzadas,,,,,,,,,,,,,,,,,,,,,,
,Ancho_Petalo,Iris-setosa,Iris-versicolor,Iris-virginica,Total de la Fila,,largo_Petalo,Iris-setosa,Iris-versicolor,Iris-virginica,Total de la Fila,,largo_sepalo,Iris-setosa,Iris-versicolor,Iris-virginica,Total de la Fila,,ancho de sepalo,Iris-setosa,Iris-versicolor,Iris-virginica,Total de la Fila
,Chico,50,0,0,50,,Chico,50,1,0,51,,Chico,47,11,1,59,,Chico,1,27,19,47
,Mediano,0,49,5,54,,Mediano,0,48,9,57,,Mediano,3,36,32,71,,Mediano,36,23,29,88
,Grande,0,1,45,46,,Grande,0,1,41,42,,Grande,0,3,17,20,,Grande,13,0,2,15
,Total General,50,50,50,150,,Total General,50,50,50,150,,Total General,50,50,50,150,,Total General,50,50,50,150
,,,,,,,,,,,,,,,,,,,,,,,
,entropia,,,,,,entropia,,,,,,entropia,,,,,,entropia,,,,
,Chico,0,,,,,Chico,0.139232999,,,,,Chico,0.812822306,,,,,Chico,1.105810441,,,
,Mediano,0.445064857,,,,,Mediano,0.629249224,,,,,Mediano,1.207885323,,,,,Mediano,1.561242143,,,
,Grande,0.151096971,,,,,Grande,0.16232618,,,,,Grande,0.609840305,,Ganancia de Información,,,Grande,0.566509507,,Ganancia de Información,
,,,,Ganancia de Información,,,Entropia ponderada,0.331905255,,Ganancia de Información,,,Entropia ponderada,0.972754534,,0.612207967,,,,1.319066946,,0.265895555,
,,,,1.378389167,,,,,,1.253057246,,,,,,,,,,,,,
,Entropia ponderada,0.206573333,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,mayor ganancia,,,,,,,,,,,,,,,,,,,
